"","week","transect","time","cluster","totalSpiders"
"1",23,"oakMargin","am","one",2
"2",23,"oakMargin","am","one",6
"3",23,"oakMargin","am","two",2
"4",23,"oakMargin","am","two",4
"5",23,"oakMargin","am","three",2
"6",23,"oakMargin","am","three",3
"7",23,"oakMargin","pm","one",1
"8",23,"oakMargin","pm","one",7
"9",23,"oakMargin","pm","one",14
"10",23,"oakMargin","pm","two",5
"11",23,"oakMargin","pm","two",8
"12",23,"oakMargin","pm","two",7
"13",23,"oakMargin","pm","three",5
"14",23,"oakMargin","pm","three",3
"15",23,"oakMargin","pm","three",12
"16",23,"control","am","one",2
"17",23,"control","am","one",6
"18",23,"control","am","two",2
"19",23,"control","am","two",4
"20",23,"control","am","three",2
"21",23,"control","am","three",3
"22",23,"control","pm","one",1
"23",23,"control","pm","one",7
"24",23,"control","pm","one",14
"25",23,"control","pm","two",5
"26",23,"control","pm","two",8
"27",23,"control","pm","two",7
"28",23,"control","pm","three",5
"29",23,"control","pm","three",3
"30",23,"control","pm","three",12
"31",24,"oakMargin","am","one",7
"32",24,"oakMargin","am","one",9
"33",24,"oakMargin","am","one",14
"34",24,"oakMargin","am","two",4
"35",24,"oakMargin","am","two",13
"36",24,"oakMargin","am","two",9
"37",24,"oakMargin","am","three",3
"38",24,"oakMargin","am","three",11
"39",24,"oakMargin","am","three",15
"40",24,"oakMargin","pm","one",7
"41",24,"oakMargin","pm","one",26
"42",24,"oakMargin","pm","one",21
"43",24,"oakMargin","pm","two",20
"44",24,"oakMargin","pm","two",10
"45",24,"oakMargin","pm","two",16
"46",24,"oakMargin","pm","three",17
"47",24,"oakMargin","pm","three",25
"48",24,"oakMargin","pm","three",21
"49",24,"control","am","one",7
"50",24,"control","am","one",9
"51",24,"control","am","one",14
"52",24,"control","am","two",4
"53",24,"control","am","two",13
"54",24,"control","am","two",9
"55",24,"control","am","three",3
"56",24,"control","am","three",11
"57",24,"control","am","three",15
"58",24,"control","pm","one",7
"59",24,"control","pm","one",26
"60",24,"control","pm","one",21
"61",24,"control","pm","two",20
"62",24,"control","pm","two",10
"63",24,"control","pm","two",16
"64",24,"control","pm","three",17
"65",24,"control","pm","three",25
"66",24,"control","pm","three",21
"67",25,"oakMargin","am","one",1
"68",25,"oakMargin","am","one",5
"69",25,"oakMargin","am","one",5
"70",25,"oakMargin","am","two",3
"71",25,"oakMargin","am","two",5
"72",25,"oakMargin","am","two",4
"73",25,"oakMargin","am","three",4
"74",25,"oakMargin","am","three",6
"75",25,"oakMargin","am","three",3
"76",25,"oakMargin","pm","one",6
"77",25,"oakMargin","pm","one",6
"78",25,"oakMargin","pm","one",5
"79",25,"oakMargin","pm","two",10
"80",25,"oakMargin","pm","two",6
"81",25,"oakMargin","pm","two",5
"82",25,"oakMargin","pm","three",0
"83",25,"oakMargin","pm","three",2
"84",25,"oakMargin","pm","three",10
"85",25,"control","am","one",1
"86",25,"control","am","one",5
"87",25,"control","am","one",5
"88",25,"control","am","two",3
"89",25,"control","am","two",5
"90",25,"control","am","two",4
"91",25,"control","am","three",4
"92",25,"control","am","three",6
"93",25,"control","am","three",3
"94",25,"control","pm","one",6
"95",25,"control","pm","one",6
"96",25,"control","pm","one",5
"97",25,"control","pm","two",10
"98",25,"control","pm","two",6
"99",25,"control","pm","two",5
"100",25,"control","pm","three",0
"101",25,"control","pm","three",2
"102",25,"control","pm","three",10
"103",26,"oakMargin","am","one",0
"104",26,"oakMargin","am","one",4
"105",26,"oakMargin","am","one",0
"106",26,"oakMargin","am","two",2
"107",26,"oakMargin","am","two",4
"108",26,"oakMargin","am","two",1
"109",26,"oakMargin","am","three",2
"110",26,"oakMargin","am","three",6
"111",26,"oakMargin","am","three",1
"112",26,"oakMargin","pm","one",4
"113",26,"oakMargin","pm","one",3
"114",26,"oakMargin","pm","one",2
"115",26,"oakMargin","pm","two",5
"116",26,"oakMargin","pm","two",4
"117",26,"oakMargin","pm","two",0
"118",26,"oakMargin","pm","three",4
"119",26,"oakMargin","pm","three",5
"120",26,"oakMargin","pm","three",3
"121",26,"control","am","one",0
"122",26,"control","am","one",4
"123",26,"control","am","one",0
